,Q,A,labeling
0, 나 방금 명랑핫도그 시킴, 오 거기 핫도그 맛있게 먹었지 키키,0
1, 키키 사실 핫볶이도 같이 시켰어, 핫볶이?,0
2, 키키 사실 핫볶이도 같이 시켰어, 그건 새로 나온 메뉴야?,0
3, 명랑 핫도그에서 떡볶기도 나옴, 오 대박,0
4, 명랑 핫도그에서 떡볶기도 나옴, 나도 한번 먹어야겠다,0
5, 키키 나도 이번에 처음 먹어봐, 그럼 떡볶이 먹고 후기 알려줘 키키,0
6, 너 먼저 먹어본 소감이 어때, 아니야,0
7, 너 먼저 먹어본 소감이 어때, 나는 떡볶이 안 먹어 봤어 ㅠㅠ,0
8, 키키 그럼 내가 먹고 후기 알려줌~, 우리에게 별로 평가를 내려주세요 키키,0
9, 너희 아이디어스라고 어플 알아?, 아 나 거기서 친구 선물 줘 봄 키키,0
10, 나 이번에 여기서 야채 시켰는데 짱 싱싱해, 엥 거기 야채도 팔아?,0
11, 1키로 한박스 샀는데 쩌네, 거기 수제로 뭐 만들어서 파는 곳으로 알고 있었는데 키키 별거 다 파네 이제,0
12, 본인 텃밭에서 기른 걸 바로 파는 거야, 아아 그래서 수제로 인정 해 주나 보다 키키,0
13, 응 그래서 야채에서 달팽이도 나와 키키, 아이디어스 안 들어간 지 오래 됐는데 많이 바꼈을 듯 키키,0
14, 그만큼 엄청 신선하다는 거겠지!, 응 그런 듯 키키,0
15, 그만큼 엄청 신선하다는 거겠지!, 나도 가서 봐줘야지 키키,0
16, 너희 일론 머스크 알아?, 어 그럼 요즘 되게 핫한 인물이잖아 키키,0
17, 얼마 전에 전세계 최고 부자 됐잖아 키키, 엥 지금 최고 부자 됐어?,0
18, 원래 부자였는데 전세계 최고 부자, 아 진짜 부럽다 ㅠㅠ 역시 돈이 돈을 벌어,0
19, 전재산이 3000억 달러라고 하네 키키, 헐 3000억이면 죽을 때까지 다 쓸 수는 있을 까 키키,0
20, 아마 테슬라 주식의 힘도 큰가 봐, 맞아,0
21, 아마 테슬라 주식의 힘도 큰가 봐, 주식 자꾸 올라가니까 키키,0
22, 저도 테슬라 한 주만 주세요..., 아니 난 해외 주식은 안 해 ㅠㅠ,0
23, 오징어게임에 나왔던 외국인 단역이 한국에서 인종차별 당했대..., 헐 한국에서 인종 차별 했대?,0
24, 응 한국인들이 인종차별 했다네, 와 대박 누구 말 하는 거지 ㅠㅠ,0
25, 응 우리나라도 내로남불 쩔잖아, 하긴 그것도 그래,0
26, 응 우리나라도 내로남불 쩔잖아, 지금 이미지 좋아지는데 ㅠㅠ 아이고,0
27, 2015년에 당했는데 이제 와서 고백한다네ㅠ, 아 거기 나온 사람이 2015년에 우리나라에서 차별을 당했다고 하는 거지?,0
28, 응 알리라는 배우 아니고 필리핀 국적의 단역 배우야, 아 우리나라 사람들도 인종 차별 안 했으면 좋겠네,0
29, 응 나랑 다르다고 무시하면 안되지., 맞아,0
30, 응 나랑 다르다고 무시하면 안되지., 그건 진짜 나쁜 거야,0
31, 연말에 다들 모여서 어디 가자고 난리네, 키키 연말에 어디로 가든 사람 많을텐데,0
32, 엄마가 풀빌라를 적극 추진 중 키키, 맞아 다들 요즘 들어가서 놀더라 키키,0
33, 저번에 갔던 경험이 좋았나봐, 웅 맞아 너네 어디 쪽으로 놀러가?,0
34, 우리는 아마 전라도쪽으로 갈 거 같아 키키, 오 전라도 좋지 키키,0
35, 우리는 아마 전라도쪽으로 갈 거 같아 키키, 전라도 많이 안 가봤어 난,0
36, 외할머니댁이 그쪽이라 같이 놀건가봐, 아아 그럼 가서 외할머니도 보고 오겠네?,0
37, 응 아마도 그럴 예정이야 하하, 응 좋다 가족끼리 다 모이고 키키,0
