,Q,A
0,1 : 나 방금 명랑핫도그 시킴,2 : 오 거기 핫도그 맛있게 먹었지 키키
1,1 : 키키 사실 핫볶이도 같이 시켰어,2 : 핫볶이?
2,1 : 키키 사실 핫볶이도 같이 시켰어,2 : 그건 새로 나온 메뉴야?
3,1 : 명랑 핫도그에서 떡볶기도 나옴,2 : 오 대박
4,1 : 명랑 핫도그에서 떡볶기도 나옴,2 : 나도 한번 먹어야겠다
5,1 : 키키 나도 이번에 처음 먹어봐,2 : 그럼 떡볶이 먹고 후기 알려줘 키키
6,1 : 너 먼저 먹어본 소감이 어때,2 : 아니야
7,1 : 너 먼저 먹어본 소감이 어때,2 : 나는 떡볶이 안 먹어 봤어 ㅠㅠ
8,1 : 키키 그럼 내가 먹고 후기 알려줌~,2 : 우리에게 별로 평가를 내려주세요 키키
9,1 : 너희 아이디어스라고 어플 알아?,2 : 아 나 거기서 친구 선물 줘 봄 키키
10,1 : 나 이번에 여기서 야채 시켰는데 짱 싱싱해,2 : 엥 거기 야채도 팔아?
11,1 : 1키로 한박스 샀는데 쩌네,2 : 거기 수제로 뭐 만들어서 파는 곳으로 알고 있었는데 키키 별거 다 파네 이제
12,1 : 본인 텃밭에서 기른 걸 바로 파는 거야,2 : 아아 그래서 수제로 인정 해 주나 보다 키키
13,1 : 응 그래서 야채에서 달팽이도 나와 키키,2 : 아이디어스 안 들어간 지 오래 됐는데 많이 바꼈을 듯 키키
14,1 : 그만큼 엄청 신선하다는 거겠지!,2 : 응 그런 듯 키키
15,1 : 그만큼 엄청 신선하다는 거겠지!,2 : 나도 가서 봐줘야지 키키
16,1 : 너희 일론 머스크 알아?,2 : 어 그럼 요즘 되게 핫한 인물이잖아 키키
17,1 : 얼마 전에 전세계 최고 부자 됐잖아 키키,2 : 엥 지금 최고 부자 됐어?
18,1 : 원래 부자였는데 전세계 최고 부자,2 : 아 진짜 부럽다 ㅠㅠ 역시 돈이 돈을 벌어
19,1 : 전재산이 3000억 달러라고 하네 키키,2 : 헐 3000억이면 죽을 때까지 다 쓸 수는 있을 까 키키
20,1 : 아마 테슬라 주식의 힘도 큰가 봐,2 : 맞아
21,1 : 아마 테슬라 주식의 힘도 큰가 봐,2 : 주식 자꾸 올라가니까 키키
22,1 : 저도 테슬라 한 주만 주세요...,2 : 아니 난 해외 주식은 안 해 ㅠㅠ
23,1 : 오징어게임에 나왔던 외국인 단역이 한국에서 인종차별 당했대...,2 : 헐 한국에서 인종 차별 했대?
24,1 : 응 한국인들이 인종차별 했다네,2 : 와 대박 누구 말 하는 거지 ㅠㅠ
25,1 : 응 우리나라도 내로남불 쩔잖아,2 : 하긴 그것도 그래
26,1 : 응 우리나라도 내로남불 쩔잖아,2 : 지금 이미지 좋아지는데 ㅠㅠ 아이고
27,1 : 2015년에 당했는데 이제 와서 고백한다네ㅠ,2 : 아 거기 나온 사람이 2015년에 우리나라에서 차별을 당했다고 하는 거지?
28,1 : 응 알리라는 배우 아니고 필리핀 국적의 단역 배우야,2 : 아 우리나라 사람들도 인종 차별 안 했으면 좋겠네
29,1 : 응 나랑 다르다고 무시하면 안되지.,2 : 맞아
30,1 : 응 나랑 다르다고 무시하면 안되지.,2 : 그건 진짜 나쁜 거야
31,1 : 연말에 다들 모여서 어디 가자고 난리네,2 : 키키 연말에 어디로 가든 사람 많을텐데
32,1 : 엄마가 풀빌라를 적극 추진 중 키키,2 : 맞아 다들 요즘 들어가서 놀더라 키키
33,1 : 저번에 갔던 경험이 좋았나봐,2 : 웅 맞아 너네 어디 쪽으로 놀러가?
34,1 : 우리는 아마 전라도쪽으로 갈 거 같아 키키,2 : 오 전라도 좋지 키키
35,1 : 우리는 아마 전라도쪽으로 갈 거 같아 키키,2 : 전라도 많이 안 가봤어 난
36,1 : 외할머니댁이 그쪽이라 같이 놀건가봐,2 : 아아 그럼 가서 외할머니도 보고 오겠네?
37,1 : 응 아마도 그럴 예정이야 하하,2 : 응 좋다 가족끼리 다 모이고 키키
38,1 : 교통비 때문에 아깝습니다.,2 : 교통비가 왜요? 비싸다고 생각이 드시나요?
39,1 : 저 지방사는데 회사는 서울이라 기차 타고 출퇴근 하거든요.,2 : 그럼 엄청 많은 교통비가 들겠네요 진짜 부담 스럽겠습니다.
40,1 : 이사를 할 수 없는 사정이라 기차타고 출퇴근이네요,2 : 서울로 이사를 오는 방법은 어떨까요
41,1 : 이사를 할 수 없는 사정이라 기차타고 출퇴근이네요,2 : 금액이 장난이 아니겠어요
42,1 : 버스 멀미하거든요.,2 : 서울로 이사하는 방법 뿐이네요 이사를 권해 봅니다.
43,1 : 신랑이 출근할 때 타고 다닌다고 자전거를 사달라고 해,2 : 회사버스타고 출근한다고 안했어?
44,1 : 회사버스타고 다니는데 걸어서 버스타는 곳까지 걸어가야하니까,2 : 아~그럼 사줘도 괜찮지않아?
45,1 : 자전거는 조금 위험해보여서,2 : 그러면 오토바이 어때?
46,1 : 의견조율이 안되서 걱정이야,2 : 잘 해결되길 바랄께
47,1 : 킥보드 타고 출근하다가 넘어졌어요.,2 : 어쩌다가 괜찮아요? 다른 사람은 다치지 않았어요?
48,1 : 맨홀에 미끄러졌어요. 다른 사람을 묻다니요. 제가 다쳤어요.,2 : 위험 하네요 정말 많이 다쳤어요?
49,1 : 그냥 안전하게 대중교통 타야겠어요.,2 : 이제 킥보드 타지 말고 지하철이나 버스를 이용하세요 너무 위험합니다.
50,1 : 그래야겠어요. 빠르게 가려다 먼저 갈 뻔했어요.,2 : 그래요 뭐든 조심 조심 해서 다니세요 위험합니다.
51,1 : 중고차 보러가는데 구매하는 것이 너무 어려운것같아,2 : 맞아 중고차는 사고차량도 있으니 잘 알아봐야해
52,1 : 나보다는 잘 알겠지만 아는언니가 같이 가달라고 하네,2 : 응 중고차는 직접 보고 사야해
53,1 :  믿고는 사는데 봐야할 것이 많네,2 : 우리 남편은 사고차량에 민감하더라고
54,1 :  믿고는 사는데 봐야할 것이 많네,2 : 어플로 찾아보는것도 추천해
55,1 : 웅 가격듣고 놀랐어,2 : 중고차인데도 비싸나 왜 놀랐어?
56,1 : 운전면허 난이도에 대한 논란이 많은데 앞으로 어떻게 될까?,2 : 지금까지 필기 난이도가 쉬웠던거지?
57,1 : 운전면허 난이도에 대한 논란이 많은데 앞으로 어떻게 될까?,2 : 갈수록 어려워질거 같다는 생각이 드네
58,1 : 그렇구나 나는 사실 운전면허의 난이도는 상관없다고 생각해,2 : 아 나는 필기시험은 안봤는데 그정도로 난이도가 낮은거야?
59,1 : 그렇구나 나는 사실 운전면허의 난이도는 상관없다고 생각해,2 : 난 사실 실기가 더 중요하다 생각이 드네
60,1 : 나는 기본적인 필기시험과 도로주행에 합격하면 그 이후로 도로주행시간을 채운후 면허를 발급하는 방법이 더 좋을 것같아,2 : 실기도 쉽구나 안전이 걸린 문제이니 실기는 좀 더 어려웠으면 좋겠어
61,1 : 직업에도 실무경험이 중요하듯이 직접운전을 해보는 시간이 늘어야 도움이 될거야,2 : 뭐든지 실무가 중요하긴 하지
62,1 : GTX가 개통되면 요금은 얼마나 할까?,2 : 왠지 비싸서 논란이 있을거 같은 느낌이다
63,1 : 나도 왠지 그럴거 같은 느낌이야,2 : 근데 그래도 왠지 타는 사람은 많은 거같아
64,1 : 우리동네도 경전철 만들고는 버스노선을 많이 없애버려서 지역주민들이 억지로 탈수 밖에 없었거든,2 : 그런일이 있었구나
65,1 : 맞아 수익이 없던 노선부터 얼른 지워버리는 거겠지?,2 : 그치 아무래도 공공기업이 아니니까
66,1 : 운전을 하면 욕이 느나요?,2 : 늘더라고요 저는 운전하면 안할 줄 알았는데 가끔 나도 모르게 할 때 있어요
67,1 : 운전하면 성격이 나빠진다고해서 걱정이에요,2 : 그렇지만은 않아요 저는 정말~ 한달에 한번 정도도 안되게 욕해요
68,1 : 더 안좋아지면 큰일인데 걱정이네요,2 : 무슨 소리예요 지금도 충분히 좋아요
69,1 : 운전을 하지 말아야 할지 고민이네요,2 : 운전은 그것보다 많은 이득을 가져와요
70,1 : 운전을 하면서 여러가지를 경험하는 것 같아요,2 : 어떤 경험을 말씀하시는 것인가요?
71,1 : 깜박이를 안넣고 끼어드는 사람이 정말 무서워요,2 : 그런 분들이 있기에 교통사고가 줄어들지 않는 것 같아요.
72,1 : 여기는 그런 사람이 많아서 항상 조심해요,2 : 네. 조심하셔야 할 것 같습니다.
73,1 : 여러분은 어떠세요?,2 : 저도 그런 부분을 자꾸 잊어서 운전면허증을 반납했습니다.
74,1 : 눈오는날은 버스가 없어지기도 해요,2 : 걱정되시겠습니다. 그런 날은...
75,1 : 출근해야 하는데 너무 난감했어요,2 : 그런 날은 회사에서 배려해 주기 힘들까요?
76,1 : 그런날은 택시도 안잡혀서 너무 속상해요,2 : 그래서 눈 오는 날은 제 아들이 회사에서 잠을 자나봅니다.
77,1 : 그런날은 그냥 다음버스를 타고 지각해요,2 : 저는 그런 날은 아들을 보내고 싶지 않더라고요.
78,1 : 전 달에 출퇴근하면서 많이 걸었습니다.,2 : 운동이 되셨겠어요
79,1 : 덕분에 교통비가 많이 줄었더군요.,2 : 운동도 하고 돈도 절약하고 멋지십니다
80,1 : 이번 달은 다 지나갔으니 다음 달에 목표를 세워볼까 합니다.,2 : 네 다음달에도 열심히 해보세요
81,1 : 일주일에 1번만 버스타기. 할 수 있을까요?,2 : 할 수 있으실 겁니다
